[03Jan2025 00:00:00.540] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=287, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.591] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=287, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.627] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.689] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.739] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.790] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.826] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1245} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.890] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1244} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.942] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1244} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:00.992] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1244} BlockPos{x=289, y=219, z=1245}
[03Jan2025 00:00:01.123] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=287, y=219, z=1244} BlockPos{x=286, y=219, z=1244}
[03Jan2025 00:00:02.089] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1244} BlockPos{x=287, y=219, z=1244}
[03Jan2025 00:00:02.140] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1244} BlockPos{x=287, y=219, z=1244}
[03Jan2025 00:00:02.175] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1244} BlockPos{x=287, y=219, z=1244}
[03Jan2025 00:00:02.240] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1244} BlockPos{x=287, y=219, z=1244}
[03Jan2025 00:00:04.988] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1242} BlockPos{x=289, y=219, z=1243}
[03Jan2025 00:00:05.139] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1242} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.177] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1242} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.239] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.280] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.339] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.380] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.423] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.489] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.538] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.573] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.638] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.675] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.729] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.777] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=285, y=219, z=1241} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.825] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.891] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.940] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:05.993] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.041] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=286, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.089] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.139] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=288, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.189] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
[03Jan2025 00:00:06.238] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=289, y=219, z=1240} BlockPos{x=290, y=219, z=1242}
